Period (days),Log of Amplitude
493.8404537,4.311259179
494.1828765,4.30921883
494.5255367,4.307205057
494.8684345,4.305218102
495.2115701,4.303258201
495.5549436,4.301325582
495.8985551,4.299420468
496.242405,4.297543074
496.5864932,4.295693607
496.9308201,4.293872269
497.2753857,4.292079251
497.6201902,4.29031474
497.9652338,4.288578912
498.3105167,4.286871939
498.6560389,4.285193981
499.0018008,4.283545192
499.3478024,4.281925718
499.6940439,4.280335696
500.0405255,4.278775254
500.3872473,4.277244514
500.7342095,4.275743587
501.0814124,4.274272576
501.4288559,4.272831577
501.7765404,4.271420674
502.124466,4.270039944
502.4726328,4.268689457
502.821041,4.267369272
503.1696908,4.266079439
503.5185824,4.26482
503.8677158,4.263590988
504.2170914,4.262392427
504.5667092,4.261224332
504.9165694,4.26008671
505.2666722,4.258979557
505.6170178,4.257902863
505.9676063,4.256856607
506.3184379,4.255840762
506.6695128,4.254855288
507.0208311,4.253900142
507.372393,4.252975267
